Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 1731479205
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 1731479205 for flow -1 to 0
Received incorrect ack for src -1 to 1731479205 for flow -1 to 0
new_RTT_at: 29.4413 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= inf rtt= 29.4177
new_RTT_at: 59.403 cur_dir= 2 prev_v= 1 cur_v= 1 window= 4.6208 target= inf rtt= 23.5965
new_RTT_at: 89.5249 cur_dir= 4 prev_v= 1 cur_v= 2 window= 7.29396 target= 32.3704 rtt= 25.6063
new_RTT_at: 148.382 cur_dir= -3 prev_v= 1 cur_v= 1 window= 8.07819 target= -31.228 rtt= 50.5256
new_RTT_at: 208.651 cur_dir= -9 prev_v= 1 cur_v= 1 window= 6.24725 target= -30.705 rtt= 50.0361
new_RTT_at: 261.36 cur_dir= -7 prev_v= 1 cur_v= 1 window= 4.42695 target= -21.3615 rtt= 42.5887
new_RTT_at: 328.422 cur_dir= -6 prev_v= 1 cur_v= 1 window= 2.2127 target= -37.6844 rtt= 57.3256
new_RTT_at: 411.432 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= -21.1666 rtt= 42.4567
new_RTT_at: 620.72 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -63.4531 rtt= 105.111
new_RTT_at: 665.672 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -15.6016 rtt= 39.0281
new_RTT_at: 831.458 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -59.044 rtt= 93.78
new_RTT_at: 885.528 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -11.369 rtt= 36.8148
new_RTT_at: 983.888 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 54.1737 rtt= 23.8504
new_RTT_at: 1024.47 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= -18.1807 rtt= 40.5383

debug1:sec: 1 throughput: 0.563562 RTT: 46.0296
new_RTT_at: 1186.72 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2 target= -26.9632 rtt= 46.7728
new_RTT_at: 1319.59 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= 49.5597 rtt= 24.1237
new_RTT_at: 1349.31 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= 8.83202 rtt= 29.6568
new_RTT_at: 1388.88 cur_dir= 3 prev_v= 1 cur_v= 2 window= 4.43322 target= -16.4624 rtt= 39.5178
new_RTT_at: 1468.07 cur_dir= -6 prev_v= 1 cur_v= 1 window= 2 target= -20.019 rtt= 41.6967
new_RTT_at: 1572.99 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -2.1124 rtt= 32.9365
