Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 92940189
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 92940189 for flow -1 to 0
Received incorrect ack for src -1 to 92940189 for flow -1 to 0
new_RTT_at: 27.3982 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= inf rtt= 27.3761
new_RTT_at: 56.5432 cur_dir= 2 prev_v= 1 cur_v= 1 window= 4.51452 target= inf rtt= 23.0821
new_RTT_at: 84.4851 cur_dir= 4 prev_v= 1 cur_v= 2 window= 7.40726 target= 45.5807 rtt= 24.6864
new_RTT_at: 136.37 cur_dir= -2 prev_v= 1 cur_v= 1 window= 8.3798 target= -20.3434 rtt= 42.1995
new_RTT_at: 189.839 cur_dir= -9 prev_v= 1 cur_v= 1 window= 6.4037 target= -31.4464 rtt= 51.0234
new_RTT_at: 242.588 cur_dir= -7 prev_v= 1 cur_v= 1 window= 4.3891 target= -31.1391 rtt= 50.7327
new_RTT_at: 274.938 cur_dir= -4 prev_v= 1 cur_v= 1 window= 3.75029 target= 8.24813 rtt= 30.0941
new_RTT_at: 331.67 cur_dir= 0 prev_v= 1 cur_v= 1 window= 4.19351 target= -33.1392 rtt= 52.6793
new_RTT_at: 371.195 cur_dir= -4 prev_v= 1 cur_v= 1 window= 4.28133 target= inf rtt= 21.7743
new_RTT_at: 411.44 cur_dir= 4 prev_v= 1 cur_v= 1 window= 6.6279 target= -15.3267 rtt= 38.4421
new_RTT_at: 454.647 cur_dir= -8 prev_v= 1 cur_v= 1 window= 4.86738 target= -5.07545 rtt= 33.6177
new_RTT_at: 478.475 cur_dir= 2 prev_v= 1 cur_v= 1 window= 6.32961 target= 101.366 rtt= 22.1152
new_RTT_at: 559.463 cur_dir= -2 prev_v= 1 cur_v= 1 window= 4.91311 target= -49.2407 rtt= 73.3959
new_RTT_at: 631.701 cur_dir= -5 prev_v= 1 cur_v= 1 window= 3.40575 target= -48.202 rtt= 71.6392
new_RTT_at: 671.835 cur_dir= -5 prev_v= 1 cur_v= 1 window= 2.19697 target= 140.06 rtt= 21.8682
new_RTT_at: 703.443 cur_dir= 3 prev_v= 1 cur_v= 1 window= 4.81336 target= 13.5252 rtt= 28.1453
new_RTT_at: 810.932 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2.86055 target= -62.2986 rtt= 101.549
new_RTT_at: 838.592 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2.42619 target= 58.3219 rtt= 23.2055
new_RTT_at: 874.105 cur_dir= 3 prev_v= 1 cur_v= 1 window= 4.74608 target= 17.0533 rtt= 27.4384
new_RTT_at: 908.363 cur_dir= 1 prev_v= 1 cur_v= 2 window= 5.41707 target= 1.46929 rtt= 31.2964
new_RTT_at: 961.004 cur_dir= -7 prev_v= 1 cur_v= 1 window= 2.9852 target= 33.5206 rtt= 25.0458
new_RTT_at: 996.915 cur_dir= 3 prev_v= 1 cur_v= 1 window= 5.05842 target= 20.9377 rtt= 26.7505

debug1:sec: 1 throughput: 1.27266 RTT: 46.8472
new_RTT_at: 1142.83 cur_dir= -4 prev_v= 1 cur_v= 1 window= 4.20534 target= -75.5455 rtt= 145.835
new_RTT_at: 1191.74 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2.39323 target= -23.5993 rtt= 43.7344
new_RTT_at: 1256.3 cur_dir= -5 prev_v= 1 cur_v= 1 window= 2 target= -32.7703 rtt= 51.5868
new_RTT_at: 1312.19 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 11.6464 rtt= 28.557
new_RTT_at: 1335.19 cur_dir= 1 prev_v= 1 cur_v= 1 window= 4.18459 target= 64.6801 rtt= 22.9322
new_RTT_at: 1368.73 cur_dir= 5 prev_v= 1 cur_v= 2 window= 6.40097 target= -2.29214 rtt= 32.5683
new_RTT_at: 1438.42 cur_dir= -2 prev_v= 1 cur_v= 1 window= 4.72427 target= -39.9427 rtt= 59.6386
new_RTT_at: 1492.35 cur_dir= -5 prev_v= 1 cur_v= 1 window= 3.64399 target= -29.0553 rtt= 48.1145
new_RTT_at: 1566.53 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= -7.61372 rtt= 34.6633
new_RTT_at: 1639.77 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -23.6722 rtt= 43.7879
new_RTT_at: 1734.44 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 8.94075 rtt= 29.1972
new_RTT_at: 1789.53 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= -36.0643 rtt= 55.0467
new_RTT_at: 1846.21 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -17.2772 rtt= 39.5618
