Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 328986528
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 328986528 for flow -1 to 0
Received incorrect ack for src -1 to 328986528 for flow -1 to 0
new_RTT_at: 25.2592 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= inf rtt= 25.2355
new_RTT_at: 53.5806 cur_dir= 2 prev_v= 1 cur_v= 1 window= 4.40544 target= inf rtt= 22.5945
new_RTT_at: 79.4194 cur_dir= 4 prev_v= 1 cur_v= 2 window= 7.17549 target= inf rtt= 22.1524
new_RTT_at: 125.284 cur_dir= 0 prev_v= 1 cur_v= 1 window= 9.48363 target= -17.1675 rtt= 39.8749
new_RTT_at: 184.615 cur_dir= -10 prev_v= 1 cur_v= 1 window= 7.59744 target= -37.6651 rtt= 57.2485
new_RTT_at: 236.402 cur_dir= -8 prev_v= 1 cur_v= 1 window= 5.75193 target= -29.3406 rtt= 48.7443
new_RTT_at: 273.456 cur_dir= -6 prev_v= 1 cur_v= 1 window= 4.02993 target= -6.44727 rtt= 34.5499
new_RTT_at: 334.587 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2 target= -34.7269 rtt= 53.9741
new_RTT_at: 375.704 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -2.44234 rtt= 33.0006
new_RTT_at: 433.679 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= -24.458 rtt= 44.7502
new_RTT_at: 601.25 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -65.4767 rtt= 110.842
new_RTT_at: 696.765 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -11.0696 rtt= 36.6151
new_RTT_at: 832.94 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -41.2477 rtt= 61.7001
new_RTT_at: 917.559 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -9.51426 rtt= 35.8844
new_RTT_at: 1054.35 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -41.4064 rtt= 61.91

debug1:sec: 1 throughput: 0.611634 RTT: 46.0022
new_RTT_at: 1187.39 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -27.7648 rtt= 47.3835
new_RTT_at: 1256.34 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -21.1343 rtt= 42.3803
new_RTT_at: 1354.36 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 8.69377 rtt= 29.6366
new_RTT_at: 1396.56 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= -20.7914 rtt= 42.1504
new_RTT_at: 1487.84 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2 target= -27.0848 rtt= 46.8181
new_RTT_at: 1643.9 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -28.1168 rtt= 47.6813
new_RTT_at: 1739.52 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -0.950157 rtt= 32.4742
new_RTT_at: 1866.37 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -29.2101 rtt= 48.6289
new_RTT_at: 1976.4 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -28.3673 rtt= 47.8954
new_RTT_at: 2073.69 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -6.11417 rtt= 34.413

debug1:sec: 2 throughput: 0.157177 RTT: 39.6454
new_RTT_at: 2235.13 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -55.1215 rtt= 84.9532
new_RTT_at: 2308.77 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -28.469 rtt= 47.9828
new_RTT_at: 2403.6 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 0.313822 rtt= 32.0484
new_RTT_at: 2427.56 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= 52.5247 rtt= 23.8887
new_RTT_at: 2453.2 cur_dir= 3 prev_v= 1 cur_v= 2 window= 4.65085 target= inf rtt= 21.1848
new_RTT_at: 2524.28 cur_dir= 1 prev_v= 1 cur_v= 2 window= 7.14696 target= -37.9288 rtt= 56.5907
new_RTT_at: 2672.84 cur_dir= -8 prev_v= 1 cur_v= 1 window= 4.7801 target= -73.7982 rtt= 138.226
new_RTT_at: 2704.73 cur_dir= -5 prev_v= 1 cur_v= 1 window= 4.26274 target= 3.17034 rtt= 30.1819
new_RTT_at: 2731.23 cur_dir= 5 prev_v= 1 cur_v= 1 window= 6.34625 target= 76.7701 rtt= 21.9586
new_RTT_at: 2770.39 cur_dir= 7 prev_v= 1 cur_v= 2 window= 8.88149 target= 0.0606132 rtt= 31.1646
new_RTT_at: 2806.28 cur_dir= -10 prev_v= 1 cur_v= 1 window= 6.90374 target= 0.0610461 rtt= 31.1644
new_RTT_at: 2833.28 cur_dir= 3 prev_v= 1 cur_v= 1 window= 7.18706 target= 25.6177 rtt= 25.4422
new_RTT_at: 2865.67 cur_dir= 8 prev_v= 1 cur_v= 2 window= 9.57126 target= 12.8327 rtt= 27.7045
new_RTT_at: 2909.66 cur_dir= -6 prev_v= 1 cur_v= 1 window= 9.56597 target= -17.4047 rtt= 39.048
new_RTT_at: 2950.73 cur_dir= -10 prev_v= 1 cur_v= 1 window= 8.71955 target= -19.1346 rtt= 40.1083
new_RTT_at: 2984.53 cur_dir= -9 prev_v= 1 cur_v= 1 window= 7.88903 target= -2.67101 rtt= 32.116

debug1:sec: 3 throughput: 1.19755 RTT: 43.6944
new_RTT_at: 3015.46 cur_dir= -2 prev_v= 1 cur_v= 1 window= 7.93286 target= 9.26004 rtt= 28.529
new_RTT_at: 3054.53 cur_dir= 0 prev_v= 1 cur_v= 1 window= 7.98841 target= -2.15643 rtt= 31.93
new_RTT_at: 3103.28 cur_dir= -8 prev_v= 1 cur_v= 1 window= 7.04554 target= -27.9201 rtt= 46.5468
new_RTT_at: 3133.81 cur_dir= -5 prev_v= 1 cur_v= 1 window= 6.84413 target= 14.6586 rtt= 27.3195
new_RTT_at: 3189.85 cur_dir= 5 prev_v= 1 cur_v= 1 window= 7.39461 target= -35.0853 rtt= 53.3889
new_RTT_at: 3249.01 cur_dir= -8 prev_v= 1 cur_v= 1 window= 6.66312 target= -38.2997 rtt= 57.0311
new_RTT_at: 3274.69 cur_dir= 3 prev_v= 1 cur_v= 1 window= 7.49034 target= 71.1921 rtt= 22.1167
new_RTT_at: 3304.48 cur_dir= 7 prev_v= 1 cur_v= 2 window= 8.76207 target= 20.8922 rtt= 26.1685
new_RTT_at: 3435.65 cur_dir= 1 prev_v= 1 cur_v= 2 window= 9.30124 target= -71.3668 rtt= 129.114
