Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 2126161620
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
new_RTT_at: 2401.5 cur_dir= -2 prev_v= 1 cur_v= 1 window= 5.84551 target= -22.872 rtt= 43.2891
new_RTT_at: 2427.51 cur_dir= 0 prev_v= 1 cur_v= 1 window= 6.44084 target= inf rtt= 21.763
new_RTT_at: 2453.19 cur_dir= 7 prev_v= 1 cur_v= 1 window= 8.55745 target= inf rtt= 21.5471
new_RTT_at: 2524.27 cur_dir= 2 prev_v= 1 cur_v= 2 window= 7.68435 target= -44.6776 rtt= 65.8849
new_RTT_at: 2664.98 cur_dir= -8 prev_v= 1 cur_v= 1 window= 5.8604 target= -74.136 rtt= 139.914
new_RTT_at: 2702.09 cur_dir= -7 prev_v= 1 cur_v= 1 window= 4.88303 target= -3.95553 rtt= 32.9565
new_RTT_at: 2732.5 cur_dir= 1 prev_v= 1 cur_v= 1 window= 4.98454 target= 25.6187 rtt= 25.8044
new_RTT_at: 2767.46 cur_dir= 5 prev_v= 1 cur_v= 2 window= 7.64372 target= 27.7254 rtt= 25.5157
new_RTT_at: 2802.31 cur_dir= -6 prev_v= 1 cur_v= 1 window= 7.21197 target= -5.08701 rtt= 33.395
new_RTT_at: 2832.58 cur_dir= -2 prev_v= 1 cur_v= 1 window= 7.16194 target= 18.5729 rtt= 26.9314
new_RTT_at: 2863.48 cur_dir= 8 prev_v= 1 cur_v= 1 window= 9.4948 target= 29.7159 rtt= 25.2609
new_RTT_at: 2908.54 cur_dir= 0 prev_v= 1 cur_v= 1 window= 9.37363 target= -16.7494 rtt= 39.0243
new_RTT_at: 2950.69 cur_dir= -10 prev_v= 1 cur_v= 1 window= 7.67229 target= -18.2376 rtt= 39.9132
new_RTT_at: 2984.53 cur_dir= -8 prev_v= 1 cur_v= 1 window= 6.3414 target= -0.283729 rtt= 31.6421

debug1:sec: 3 throughput: 1.93367 RTT: 44.7669
new_RTT_at: 3021.5 cur_dir= 1 prev_v= 1 cur_v= 1 window= 6.46507 target= 7.05618 rtt= 29.4512
new_RTT_at: 3063.42 cur_dir= 2 prev_v= 1 cur_v= 2 window= 7.5618 target= -5.76083 rtt= 33.6641
new_RTT_at: 3107.36 cur_dir= -8 prev_v= 1 cur_v= 1 window= 5.629 target= -20.9734 rtt= 41.6668
new_RTT_at: 3137.56 cur_dir= -2 prev_v= 1 cur_v= 1 window= 4.97031 target= 22.9235 rtt= 26.2045
new_RTT_at: 3212.77 cur_dir= 1 prev_v= 1 cur_v= 1 window= 5.20796 target= -37.3293 rtt= 56.2525
new_RTT_at: 3254.83 cur_dir= -7 prev_v= 1 cur_v= 1 window= 3.77825 target= 27.9111 rtt= 25.4912
new_RTT_at: 3278.41 cur_dir= 3 prev_v= 1 cur_v= 1 window= 4.99085 target= 95.0255 rtt= 21.9682
