Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 1579565925
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 1579565925 for flow -1 to 0
Received incorrect ack for src -1 to 1579565925 for flow -1 to 0
new_RTT_at: 24.2068 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= inf rtt= 24.1865
new_RTT_at: 52.5096 cur_dir= 2 prev_v= 1 cur_v= 1 window= 4.01853 target= inf rtt= 22.1971
new_RTT_at: 77.3772 cur_dir= 4 prev_v= 1 cur_v= 2 window= 7.50911 target= 72.2056 rtt= 23.0981
new_RTT_at: 122.191 cur_dir= 2 prev_v= 1 cur_v= 2 window= 10.3368 target= -16.2126 rtt= 39.3644
new_RTT_at: 179.438 cur_dir= -11 prev_v= 1 cur_v= 1 window= 8.32331 target= -36.0411 rtt= 55.4438
new_RTT_at: 231.661 cur_dir= -9 prev_v= 1 cur_v= 1 window= 6.58459 target= -28.097 rtt= 47.7092
new_RTT_at: 270.253 cur_dir= -7 prev_v= 1 cur_v= 1 window= 4.92176 target= -11.0523 rtt= 36.6515
new_RTT_at: 330.114 cur_dir= -5 prev_v= 1 cur_v= 1 window= 2.47336 target= -31.0297 rtt= 50.3291
new_RTT_at: 368.451 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -5.41763 rtt= 34.1763
new_RTT_at: 423.706 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= -22.0704 rtt= 43.0661
new_RTT_at: 515.247 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -26.76 rtt= 46.5971
new_RTT_at: 638.196 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -45.158 rtt= 67.2506
new_RTT_at: 732.329 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -31.1029 rtt= 50.3979
new_RTT_at: 832.959 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -17.3746 rtt= 40.0423
new_RTT_at: 943.986 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -17.4456 rtt= 40.0847
new_RTT_at: 1061.82 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -27.1734 rtt= 46.9357

debug1:sec: 1 throughput: 0.650724 RTT: 43.6699
new_RTT_at: 1188.58 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -28.5815 rtt= 48.1245
new_RTT_at: 1267.33 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 5.66734 rtt= 30.4757
new_RTT_at: 1290.33 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= 77.6718 rtt= 22.948
new_RTT_at: 1319.61 cur_dir= 3 prev_v= 1 cur_v= 2 window= 4.78135 target= 59.4759 rtt= 23.5743
new_RTT_at: 1350.8 cur_dir= 5 prev_v= 2 cur_v= 4 window= 11.1154 target= 13.0146 rtt= 28.623
new_RTT_at: 1389.99 cur_dir= 7 prev_v= 1 cur_v= 2 window= 16.3154 target= -8.07669 rtt= 35.2322
new_RTT_at: 1442.58 cur_dir= -17 prev_v= 1 cur_v= 1 window= 14.4575 target= -31.3485 rtt= 50.5753
new_RTT_at: 1487.86 cur_dir= -15 prev_v= 1 cur_v= 1 window= 12.5111 target= -17.1661 rtt= 39.8644
new_RTT_at: 1529.32 cur_dir= -13 prev_v= 1 cur_v= 1 window= 10.9849 target= -17.9663 rtt= 40.3434
new_RTT_at: 1557.36 cur_dir= 6 prev_v= 1 cur_v= 1 window= 12.5274 target= 69.1714 rtt= 23.1396
new_RTT_at: 1599.71 cur_dir= 1 prev_v= 1 cur_v= 2 window= 12.7083 target= -10.4309 rtt= 36.3008
new_RTT_at: 1646.15 cur_dir= -13 prev_v= 1 cur_v= 1 window= 10.7589 target= -24.6905 rtt= 44.9163
new_RTT_at: 1671.57 cur_dir= -1 prev_v= 1 cur_v= 1 window= 11.6102 target= 84.0815 rtt= 22.7492
new_RTT_at: 1696.49 cur_dir= 12 prev_v= 1 cur_v= 1 window= 13.5653 target= 85.6046 rtt= 22.4945
new_RTT_at: 1718.84 cur_dir= 13 prev_v= 1 cur_v= 2 window= 15.1537 target= 170.838 rtt= 21.9517
new_RTT_at: 1755.48 cur_dir= 2 prev_v= 1 cur_v= 2 window= 17.6055 target= -3.65435 rtt= 33.2135
new_RTT_at: 1807.63 cur_dir= -18 prev_v= 1 cur_v= 1 window= 15.6636 target= -31.9498 rtt= 50.9262
new_RTT_at: 1860.18 cur_dir= -16 prev_v= 1 cur_v= 1 window= 13.6097 target= -18.6836 rtt= 40.5592
new_RTT_at: 1884.98 cur_dir= -14 prev_v= 1 cur_v= 1 window= 12.5951 target= 61.0758 rtt= 23.2237
new_RTT_at: 1911.86 cur_dir= 13 prev_v= 1 cur_v= 1 window= 14.6981 target= 146.1 rtt= 21.9948
new_RTT_at: 1950.19 cur_dir= 2 prev_v= 1 cur_v= 2 window= 15.3552 target= -5.64949 rtt= 33.9902
new_RTT_at: 1990.89 cur_dir= -15 prev_v= 1 cur_v= 1 window= 13.7233 target= -17.2503 rtt= 39.6895

debug1:sec: 2 throughput: 3.02385 RTT: 37.6195
new_RTT_at: 2019.27 cur_dir= 5 prev_v= 1 cur_v= 1 window= 14.9316 target= 53.6003 rtt= 23.5932
new_RTT_at: 2048.42 cur_dir= 14 prev_v= 1 cur_v= 2 window= 16.6278 target= 14.6192 rtt= 28.0608
new_RTT_at: 2090.21 cur_dir= 9 prev_v= 1 cur_v= 2 window= 19.2745 target= -8.45848 rtt= 35.1752
new_RTT_at: 2150.44 cur_dir= -20 prev_v= 1 cur_v= 1 window= 16.9572 target= -32.5275 rtt= 51.4903
new_RTT_at: 2235.17 cur_dir= -18 prev_v= 1 cur_v= 1 window= 14.9859 target= -53.8175 rtt= 82.0476
new_RTT_at: 2288.14 cur_dir= -16 prev_v= 1 cur_v= 1 window= 13.5803 target= -29.4468 rtt= 48.6042
new_RTT_at: 2319.95 cur_dir= -14 prev_v= 1 cur_v= 1 window= 12.179 target= 5.07128 rtt= 30.3628
new_RTT_at: 2349.83 cur_dir= 9 prev_v= 1 cur_v= 1 window= 13.4685 target= 12.4675 rtt= 28.5176
new_RTT_at: 2395.58 cur_dir= 0 prev_v= 1 cur_v= 1 window= 14.2092 target= -25.4187 rtt= 45.2512
new_RTT_at: 2420.21 cur_dir= -3 prev_v= 1 cur_v= 1 window= 14.4715 target= 81.8583 rtt= 22.5712
