Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 64879873
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 64879873 for flow -1 to 0
Received incorrect ack for src -1 to 64879873 for flow -1 to 0
new_RTT_at: 22.0965 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= inf rtt= 22.0691
new_RTT_at: 49.2652 cur_dir= 2 prev_v= 1 cur_v= 1 window= 3.92702 target= inf rtt= 21.5502
new_RTT_at: 73.367 cur_dir= 4 prev_v= 1 cur_v= 2 window= 7.44389 target= 57.7106 rtt= 23.0109
new_RTT_at: 116.369 cur_dir= 4 prev_v= 1 cur_v= 2 window= 10.8571 target= -13.0425 rtt= 36.9959
new_RTT_at: 174.479 cur_dir= -11 prev_v= 1 cur_v= 1 window= 8.88483 target= -37.7939 rtt= 56.7973
new_RTT_at: 224.21 cur_dir= -9 prev_v= 1 cur_v= 1 window= 7.43126 target= -30.3188 rtt= 49.0234
new_RTT_at: 266.787 cur_dir= -8 prev_v= 1 cur_v= 1 window= 5.6591 target= -16.935 rtt= 39.1359
new_RTT_at: 326.972 cur_dir= -4 prev_v= 1 cur_v= 1 window= 3.93386 target= -33.1718 rtt= 51.7644
new_RTT_at: 356.685 cur_dir= -5 prev_v= 1 cur_v= 1 window= 3.03007 target= 53.7343 rtt= 23.2179
new_RTT_at: 391.401 cur_dir= 4 prev_v= 1 cur_v= 1 window= 5.72503 target= 38.1691 rtt= 24.352
new_RTT_at: 443.069 cur_dir= -4 prev_v= 1 cur_v= 1 window= 4.74724 target= -24.8141 rtt= 44.4178
new_RTT_at: 469.844 cur_dir= -3 prev_v= 1 cur_v= 1 window= 3.94797 target= 67.7087 rtt= 22.5969
new_RTT_at: 549.003 cur_dir= 4 prev_v= 1 cur_v= 1 window= 6.27646 target= -50.4559 rtt= 75.3059
new_RTT_at: 638.256 cur_dir= -7 prev_v= 1 cur_v= 1 window= 3.74841 target= -37.3971 rtt= 56.3341
new_RTT_at: 671.891 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2.08863 target= 27.0359 rtt= 25.611
new_RTT_at: 701.375 cur_dir= 3 prev_v= 1 cur_v= 1 window= 4.49913 target= 39.7111 rtt= 24.2117
new_RTT_at: 805.185 cur_dir= 1 prev_v= 1 cur_v= 2 window= 3.77663 target= -63.0235 rtt= 103.276
new_RTT_at: 860.681 cur_dir= -6 prev_v= 1 cur_v= 1 window= 2.59098 target= 7.32102 rtt= 29.3848
new_RTT_at: 893.203 cur_dir= 3 prev_v= 1 cur_v= 1 window= 5.61117 target= -1.87411 rtt= 32.1948
new_RTT_at: 934.528 cur_dir= -6 prev_v= 1 cur_v= 1 window= 3.37317 target= -14.439 rtt= 37.732
new_RTT_at: 964.077 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2.80927 target= 23.6695 rtt= 26.0933
new_RTT_at: 1007.66 cur_dir= 3 prev_v= 1 cur_v= 1 window= 5.0526 target= -22.9102 rtt= 43.0116

debug1:sec: 1 throughput: 1.27729 RTT: 47.6709
new_RTT_at: 1192.98 cur_dir= -7 prev_v= 1 cur_v= 1 window= 2.36534 target= -23.7819 rtt= 43.6444
new_RTT_at: 1263.99 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2 target= -27.9523 rtt= 46.9395
new_RTT_at: 1368.78 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -3.03305 rtt= 32.6141
new_RTT_at: 1487.85 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -24.0393 rtt= 43.8347
new_RTT_at: 1597.93 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -27.1426 rtt= 46.2634
new_RTT_at: 1683.12 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 46.1444 rtt= 23.698
new_RTT_at: 1706.21 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= 57.0087 rtt= 23.0454
new_RTT_at: 1740.82 cur_dir= 2 prev_v= 1 cur_v= 2 window= 3.91544 target= -1.20084 rtt= 31.9586
new_RTT_at: 1823.76 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= -38.7798 rtt= 57.9748
new_RTT_at: 1947.51 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -18.0137 rtt= 39.7797
new_RTT_at: 2044.56 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 8.51114 rtt= 29.0801

debug1:sec: 2 throughput: 0.296565 RTT: 59.9223
new_RTT_at: 2082.57 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= -14.8675 rtt= 37.9648
new_RTT_at: 2164.11 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -45.1681 rtt= 66.6189
new_RTT_at: 2284.79 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -33.2386 rtt= 51.8317
new_RTT_at: 2389.43 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -29.9847 rtt= 48.7191
new_RTT_at: 2500.57 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -33.513 rtt= 52.1099
new_RTT_at: 2681.59 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -70.2038 rtt= 125.376
new_RTT_at: 2804.52 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -3.5265 rtt= 32.7976
new_RTT_at: 2924.84 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= -26.0374 rtt= 45.3696
new_RTT_at: 3016.52 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 8.06581 rtt= 29.1927

debug1:sec: 3 throughput: 0.149875 RTT: 45.2703
