Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 848536063
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 848536063 for flow -1 to 0
Received incorrect ack for src -1 to 848536063 for flow -1 to 0
new_RTT_at: 29.4398 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= inf rtt= 29.4162
new_RTT_at: 59.4071 cur_dir= 2 prev_v= 1 cur_v= 1 window= 4.6198 target= inf rtt= 23.6015
new_RTT_at: 88.435 cur_dir= 4 prev_v= 1 cur_v= 2 window= 7.37736 target= 19.5984 rtt= 27.4117
new_RTT_at: 146.745 cur_dir= -2 prev_v= 1 cur_v= 1 window= 8.22679 target= -32.2933 rtt= 51.5506
new_RTT_at: 204.581 cur_dir= -9 prev_v= 1 cur_v= 1 window= 6.50197 target= -32.7432 rtt= 51.994
new_RTT_at: 252.893 cur_dir= -7 prev_v= 1 cur_v= 1 window= 4.53262 target= -26.127 rtt= 46.099
new_RTT_at: 306.064 cur_dir= -5 prev_v= 1 cur_v= 1 window= 3.5595 target= -32.3368 rtt= 51.5932
new_RTT_at: 376.89 cur_dir= -5 prev_v= 1 cur_v= 1 window= 2 target= 8.86085 rtt= 29.651
new_RTT_at: 419.238 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2.28838 target= -20.9366 rtt= 42.3034
new_RTT_at: 464.96 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= 77.714 rtt= 22.9582
new_RTT_at: 513.679 cur_dir= 2 prev_v= 1 cur_v= 1 window= 5.06495 target= -25.7716 rtt= 45.8177
new_RTT_at: 659.826 cur_dir= -7 prev_v= 1 cur_v= 1 window= 2 target= -22.4008 rtt= 43.3085
new_RTT_at: 753.307 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -46.778 rtt= 69.7617
new_RTT_at: 956.891 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2 target= 26.7506 rtt= 26.308
new_RTT_at: 981.074 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= 49.3928 rtt= 24.1358

debug1:sec: 1 throughput: 0.736965 RTT: 50.7675
new_RTT_at: 1140.01 cur_dir= 1 prev_v= 1 cur_v= 2 window= 2.07866 target= -77.468 rtt= 154.479
new_RTT_at: 1200.46 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= -15.5679 rtt= 39.0107
new_RTT_at: 1290.35 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 149.95 rtt= 22.2759
new_RTT_at: 1313.45 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2.59662 target= 149.95 rtt= 22.2759
new_RTT_at: 1349.31 cur_dir= 3 prev_v= 1 cur_v= 2 window= 4.80704 target= -4.93466 rtt= 33.9963
new_RTT_at: 1397.9 cur_dir= 3 prev_v= 1 cur_v= 2 window= 4.14235 target= -20.8033 rtt= 42.2143
new_RTT_at: 1503.53 cur_dir= -6 prev_v= 1 cur_v= 1 window= 2 target= -36.8914 rtt= 56.4109
new_RTT_at: 1601.22 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -11.8793 rtt= 37.0667
