Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 1808587292
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 1808587292 for flow -1 to 0
Received incorrect ack for src -1 to 1808587292 for flow -1 to 0
new_RTT_at: 22.0841 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= inf rtt= 22.0616
new_RTT_at: 49.2864 cur_dir= 2 prev_v= 1 cur_v= 1 window= 4.00292 target= inf rtt= 21.6928
new_RTT_at: 74.4041 cur_dir= 4 prev_v= 1 cur_v= 2 window= 7.42644 target= 78.4581 rtt= 22.4243
new_RTT_at: 115.256 cur_dir= 2 prev_v= 1 cur_v= 2 window= 9.88901 target= -10.9271 rtt= 36.087
new_RTT_at: 172.5 cur_dir= -10 prev_v= 1 cur_v= 1 window= 7.95552 target= -37.7142 rtt= 56.8464
new_RTT_at: 222.908 cur_dir= -8 prev_v= 1 cur_v= 1 window= 6.54156 target= -29.708 rtt= 48.6123
new_RTT_at: 271.776 cur_dir= -8 prev_v= 1 cur_v= 1 window= 4.62078 target= -9.95801 rtt= 35.6294
new_RTT_at: 339.771 cur_dir= -5 prev_v= 1 cur_v= 1 window= 2.24755 target= -32.3989 rtt= 51.1385
new_RTT_at: 381.765 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 51.914 rtt= 23.4648
new_RTT_at: 427.732 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2.09962 target= -15.7662 rtt= 38.6065
new_RTT_at: 476.363 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= 90.1112 rtt= 22.1888
new_RTT_at: 549.07 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2.02071 target= -48.8581 rtt= 72.6603
new_RTT_at: 706.551 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= 12.8624 rtt= 28.2061
