Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 1188903991
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 1188903991 for flow -1 to 0
Received incorrect ack for src -1 to 1188903991 for flow -1 to 0
new_RTT_at: 23.1516 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= inf rtt= 23.1275
new_RTT_at: 50.321 cur_dir= 2 prev_v= 1 cur_v= 1 window= 4.09123 target= inf rtt= 21.5183
new_RTT_at: 74.397 cur_dir= 4 prev_v= 1 cur_v= 2 window= 7.33499 target= 58.9965 rtt= 22.9176
new_RTT_at: 119.238 cur_dir= 2 prev_v= 1 cur_v= 2 window= 10.0926 target= -13.4766 rtt= 37.1892
new_RTT_at: 178.316 cur_dir= -11 prev_v= 1 cur_v= 1 window= 8.0978 target= -36.0352 rtt= 54.7584
new_RTT_at: 236.424 cur_dir= -9 prev_v= 1 cur_v= 1 window= 6.47042 target= -27.8196 rtt= 46.7955
new_RTT_at: 279.81 cur_dir= -7 prev_v= 1 cur_v= 1 window= 4.73521 target= -4.9892 rtt= 33.3276
new_RTT_at: 342.007 cur_dir= -5 prev_v= 1 cur_v= 1 window= 2.46793 target= -25.8074 rtt= 45.1557
new_RTT_at: 381.751 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 46.4203 rtt= 23.6464
new_RTT_at: 425.36 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2.49146 target= -17.0526 rtt= 39.173
new_RTT_at: 460.049 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2 target= 22.9741 rtt= 26.1679
new_RTT_at: 482.696 cur_dir= 2 prev_v= 1 cur_v= 1 window= 4.00524 target= 73.2457 rtt= 22.3885
new_RTT_at: 583.151 cur_dir= -1 prev_v= 1 cur_v= 1 window= 3.02105 target= -61.9672 rtt= 100.417
new_RTT_at: 655.118 cur_dir= -5 prev_v= 1 cur_v= 1 window= 2 target= -30.7709 rtt= 49.4086
new_RTT_at: 701.303 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= -0.523021 rtt= 31.6941
new_RTT_at: 828.425 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2 target= -62.7564 rtt= 102.52
